PSC CODE,PRODUCT AND SERVICE CODE NAME,START DATE,END DATE,PRODUCT AND SERVICE CODE FULL NAME,PRODUCT AND SERVICE CODE EXCLUDES,PRODUCT AND SERVICE CODE NOTES,PRODUCT AND SERVICE CODE INICLUDES
1210,FIRE CONTROL DIRECTORS,1978-10-15,,Fire Control Directors,,,
1220,FIRE CONTROL COMPUTING SIGHTS AND DEVICES,2011-10-01,,Fire Control Computing Sights and Devices,,,
1230,"FIRE CONTROL SYSTEMS, COMPLETE",1978-10-15,,"Fire Control Systems, Complete",,"This class includes only complete fire control systems. Anything less than a complete system, such as individual end items, assemblies, parts, attachments, or accessories for use in fire control systems are classified in classes other than this class.",
1240,OPTICAL SIGHTING AND RANGING EQUIPMENT,2011-10-01,,Optical Sighting and Ranging Equipment,,,Periscopes for Submarines; Range and Height  Finders; Telescopic Sights;  Optical Instruments Integrated with Fire Control Equipment.
1250,FIRE CONTROL STABILIZING MECHANISMS,1978-10-15,,Fire Control Stabilizing Mechanisms,,,
1260,FIRE CONTROL DESIGNATING AND INDICATING EQUIPMENT,2011-10-01,,Fire Control Designating and Indicating Equipment,,,"Turret, Gun, Torpedo Mount, and Searchlight Indicating Equipment; Target Designating Equipment; Synchro Systems."
1265,"FIRE CONTROL TRANSMITTING AND RECEIVING EQUIPMENT, EXCEPT AIRBORNE",2011-10-01,,"Fire Control Transmitting and Receiving Equipment, except Airborne","Fire Control Transmitting and Receiving Equipment, Specially Designed for use on or with Fire Control Radar Equipment.",,"Fire Control Transmitters, Transmitter-Receivers, Receivers, Receiver-Regulators."
1270,AIRCRAFT GUNNERY FIRE CONTROL COMPONENTS,2011-10-01,,Aircraft Gunnery Fire Control Components,Gun Chargers; Ammunition Boxes; Gun Heaters; Field and Link Chutes; Ammunition Boosters; Gyro Components; Complete Fire Control Systems.,,"Turrets, Aircraft; Computers, specifically designed; Complete Gyro Mechanisms."
1280,AIRCRAFT BOMBING FIRE CONTROL COMPONENTS,2011-10-01,,Aircraft Bombing Fire Control Components,"Gyro Components; Optical Elements, such as Lens, Prisms, Filters.",,"Computers, specifically designed; Complete Gyro Mechanisms; Optical Instruments for Bombing Fire Control."
1285,"FIRE CONTROL RADAR EQUIPMENT, EXCEPT AIRBORNE",2011-10-01,,"Fire Control Radar Equipment, except Airborne",,,"Radar Sets, Assemblies, Subassemblies, and Components Specially Designed for use on or with Fire Control Equipment."
1287,FIRE CONTROL SONAR EQUIPMENT,1979-01-15,,Fire Control Sonar Equipment,,"This class includes airborne, shipborne, and submarineborne sonar sets, assemblies, subassemblies, and components designed specifically for use with underwater fire control equipment.",
1290,MISCELLANEOUS FIRE CONTROL EQUIPMENT,2011-10-01,,Miscellaneous Fire Control Equipment,,,Fuze Setters; Ordnance Cable Systems;  Aiming Circles; Flash and Sound Ranging Sets; Fire  Control Components and Subassemblies Not Classifiable in other classes of group 12.
13,AMMUNITION AND EXPLOSIVES,1979-10-01,,,,Excluded from this group are items specially designed for nuclear ordnance application.,
1305,"AMMUNITION, THROUGH 30MM",2011-10-01,,"Ammunition, through 30 mm",,,Components.
1310,"AMMUNITION, OVER 30MM UP TO 75MM",2011-10-01,,"Ammunition, over 30 mm up to 75 mm",Fuzes and Primers.,,"Components, except Fuzes and Primers; Chemical Warfare Cartridges."
1315,"AMMUNITION, 75MM THROUGH 125MM",2011-10-01,,"Ammunition, 75 mm through 125 mm.",Fuzes and Primers.,,Components except Fuzes and Primers; Pyrotechnic Cartridges and Projectiles; Chemical Warfare Cartridges and Projectiles
1320,"AMMUNITION, OVER 125MM",2011-10-01,,"Ammunition, over 125 mm",Fuzes and Primers.,,"Components, except Fuzes and Primers; Chemical  Warfare Projectiles."
1325,BOMBS,1978-11-15,,Bombs,,,Components; Photoflash Bombs; Chemical Warfare Bombs; Bomb Clusters.
1330,GRENADES,1978-10-15,,Grenades,Firing Devices (Launchers).,,Components; Hand and Rifle Grenades; Smoke Grenades.
1336,GUIDED MISSILE WARHEADS AND EXPLOSIVE COMPONENTS,2011-10-01,,Guided Missile Warheads and Explosive Components,"Atomic Ordnance Warheads; All other Warheads for use on other than guided missiles; Liquid Propulsion Units; Rocket Engines (Liquid Propellent Units); JATO Units; Rocket Motors (Solid Propellant Units) for Guided Missiles; Solid Fuel Propulsion Units; Propellant Chemicals encased in consumable containers, such as squibs and cartridges for insertion into missile propulsion systems as integral parts.",,"Warheads Containing Military Chemical Agents; Exercise Heads, Guided Missile."
1337,"GUIDED MISSILE AND SPACE VEHICLE EXPLOSIVE PROPULSION UNITS, SOLID FUEL; AND COMPONENTS",2011-10-01,,"Guided Missile and Space Vehicle Explosive Propulsion Units, Solid Fuel; and components","Rocket Motors (Solid Propellant Units) for Guided Missiles, Inert-Loaded or Empty; All Inert (Nonexplosive) Components for Guided Missile and Space Vehicle Solid Fuel Propulsion Units; Guided Missile Warheads and Components; Rocket Propulsion Units; Rocket Motors (Solid Propellent Units) for Rockets; Solid Propellants predetermined to specific quantity and quality, but packaged in reusable containers.",,"Rocket Motors (Solid Propellant Units) for Guided Missiles, Explosive- Loaded; All Explosive Components for Guided Missile and Space Vehicle Solid Fuel Propulsion Units; Solid Propellants encased in consumable containers, such as squibs and cartridges, intended for insertion into missile propulsion systems as integral parts."
1338,"GUIDED MISSILE AND SPACE VEHICLE INERT PROPULSION UNITS, SOLID FUEL; AND COMPONENTS",2011-10-01,,"Guided Missile and Space Vehicle Inert Propulsion Units, Solid Fuel; and components","Rocket Motors (Solid Propellant Units) for Guided Missiles, Explosive-Loaded; Guided Missile Warheads and Components; Rocket Propulsion Units; Rocket Motors (Solid Propellant Units) for Rockets.",,"Rocket Motors (Solid Propellant Units) for guided Missiles, Inert-Loaded or Empty; All Inert  (Nonexplosive) Components for Guided Missile and Space Vehicle Solid Fuel Propulsion Units."
1340,"ROCKETS, ROCKET AMMUNITION AND ROCKET COMPONENTS",2011-10-01,,"Rockets, Rocket Ammunition and Rocket Components","Nuclear rockets, Nuclear warheads; all other warheads for use on other than rockets; and rockets with built-in guiding devices.",,"Complete Rounds; Explosive Components,  Including Warheads; Pyrotechnic Rockets; Solid Fuel JATO Units; Rocket Motors (Solid Propellant Units) for Rockets; Covers, Protective Rocket Warhead; Jettisonable Rocket Launchers; Conditioning Kits and Sets, Controlled Environment; and other peculiar components which are not classified elsewhere."
1345,LAND MINES,1978-11-15,,Land Mines,,,Components; Antipersonnel Mines; Antitank Mines; Fuzes.
1346,REMOTE MUNITIONS,2005-05-01,,Munitions items-systems that are not held by the soldier but are deployed for future activation.,,,
1350,"UNDERWATER MINE AND COMPONENTS, INERT",2011-10-01,,Underwater Mine Inert Components,,,Parachute Packs; Inert Mine Cases; Booster Cans; Clock Delays; Clock Starters; Search Coils; Extenders.
1351,"UNDERWATER MINES AND COMPONENTS, EXPLOSIVE",2011-10-01,,Underwater Mine Explosive Components,,,Loaded Cases; Boosters; Detonators.
1352,UNDERWATER MINE DISPOSAL INERT DEVICES,2011-10-01,,Version of Underwater Mine Disposal Explosive Device without destructive charge.,"Torpedo Inert components,depth charges, and underwater mines.",Intended for underwater mine hunting and reconnaissance.May also be used for training purposes.,"Complete operating units, such as an underwater mine reconnaissance device, as well as component parts, practice,training, blank, and dummies."
1353,UNDERWATER MINE DISPOSAL EXPLOSIVE DEVICES,2011-10-01,,"Complete explosive devices, including destructive charge.","Underwater Mine Explosive Components (FSC 1351), Torpedo Explosive Components (FSC 1356), Military Chemical Agents (FSC 1365).","It is fired,guided to target and detonated from a vessel or other remote site.","Complete explosive device, including ammunition, detonating charge,and component parts."
1355,"TORPEDOS AND COMPONENTS, INERT",2011-10-01,,Torpedo Inert Components,,,
1356,"TORPEDOS AND COMPONENTS, EXPLOSIVE",2011-10-01,,Torpedo Explosive Components,,,Warheads; Boosters; Detonators.
1360,"DEPTH CHARGES AND COMPONENTS, INERT",2011-10-01,,Depth Charge Inert Components,,,Inert Firing Mechanisms; Pistols without Detonators; Extenders.
1361,"DEPTH CHARGES AND COMPONENTS, EXPLOSIVE",2011-10-01,,Depth Charge Explosive Components,,,Cases; Boosters; Detonator.
1365,MILITARY CHEMICAL AGENTS,1978-11-15,,Military Chemical Agents,Ammunition containing Military Chemical Agents.,,War Gases; Screening Smokes; Incendiary and thickening Agents; Signaling Smokes.
1367,"TACTICAL SETS, KITS, AND OUTFITS",2005-05-01,,"A collection of items, which are used for a specific purpose.",,"These sets,kits and outfits may include such items as uniforms, weapons, body armor, and the like. By themselves, each of these components belongs in an FSC other than 1367.",Each collection must include at least one item of ordnance classified in Group 13. Ordnance may be non-lethal (as defined in the Department of Defense Directive 3000.3)
1370,PYROTECHNICS,1978-10-15,,Pyrotechnics,Pyrotechnic Cartridges and Projectiles; Photoflash Bombs; Pyrotechnic Rockets.,,Flares; Signals; Fireworks; Pistol Rocket Signals.
1375,DEMOLITION MATERIALS,1978-11-15,,Demolition Materials,"Liquid Propellant Fuels and Oxidizers; Solid Propellants encased in consumable containers, for insertion into missile propulsion systems as integral parts; Guided Missile Explosive Devices; Safety-in-Flight Explosive Items and Devices such as, Impulse Cartridges, Delay Cartridges, Aircraft Ejection Seat Catapults, Aircraft Canopy Removers, and similar items, as shown in the indexes to the FSC; Solid Propellants, predetermined to specific quantity and quality, packaged in reusable containers; Nuclear Ordnance Components; Rocket and Guided Missile Motors, Warheads, and Propulsion Sections.",,"Items for construction, quarrying and demolition work such as Dynamite and other explosives packed in cylindrical paper cartridges or in bags, Demolition Charges; Blasting Caps; Blasting Time Fuses; Detonating Cord; Demolition Firing Devices; Booby Trap Mechanisms; Bangalore Torpedoes; Inert accessories and components such as Blasting Machines, Priming Adapters, and Detonating Cord Clips."
1376,BULK EXPLOSIVES,1978-12-15,,Bulk Explosives,"Liquid Propellant Fuels and Oxidizers; Solid Propellants encased in consumable containers, for insertion into missile propulsion systems as integral parts; Guided Missile Explosive Devices; Blasting and Demolition Materials; Safety-in-Flight Explosive Items and Devices such as Impulse Cartridges, Delay Cartridges, Aircraft Ejection Seat Catapults, Aircraft Canopy Removers; Rocket and Guided Missile Motors, Warheads, and Propulsion Sections; similar items, as shown in the indexes to the FSC.",,"Solid Propellants, predetermined to specific quantity and quality, packaged in reusable containers; Explosive Loaded Devices and Components as shown in the indexes to the FSC."
1377,CARTRIDGE AND PROPELLANT ACTUATED DEVICES AND COMPONENTS,2011-10-01,,Cartridge and Propellant Actuated Devices and Components,"Liquid Propellant Fuels and Oxidizers; Solid Propellants, encased in consumable containers for insertion into missile propulsion systems as an integral part; Guided Missile Explosive Devices; Bulk and Solid Propellants, predetermined to specific quantity and quality, packaged in reusable containers; Blasting and Demolition Materials; Rocket Motors, Warheads and Propulsion Sections for Rockets and Guided Missiles.","This class includes safety-in-flight explosive items, consisting of a quantity of propellant (either encased in a cartridge or in molded form) and a means of activation, designed to be inserted into or attached to one or more devices to provide the energy required to operate devices requiring a time delay, or not requiring a time delay, in their operating sequence.  Also included are devices designed to utilize energy generated by the items described above.","Impulse Cartridges; Delay Cartridges; Enginents e Starter Cartridges (explosive filled); Fire Extinguisher Cartridges (used to activate by remote control); Aircraft Ejection Seat Catapults; Rocket Motors (Solid Propellant Units) for Aircraft Ejection Seats; Aircraft Canopy Removers; Thrusters, propellant and cartridge actuated; Initiators; Explosive Bolts and Explosive Bolt Cartridges; Cutters, cartridge or propellant actuated, Reefing Line; Powder actuated Tool Cartridges; Explosive Loaded Devices and Components which are not specifically classified elsewhere."
1385,SURFACE USE EXPLOSIVE ORDNANCE DISPOSAL TOOLS AND EQUIPMENT,2011-10-01,,Surface Use Explosive Ordnance Disposal Tools and Equipment,Nonspecialized or common tools and equipment not developed exclusively for use by qualified EOD personnel; specialized demolition material; explosive loaded shaped charges.,This class includes only specialized tools and equipment developed for and used by qualified Explosive Ordnance Disposal (EOD) personnel.,Nonspecialized or common tools and equipment not developed exclusively for use by qualified EOD personnel; specialized demolition material; explosive loaded shaped charges.
1386,UNDERWATER USE EXPLOSIVE ORDNANCE DISPOSAL AND SWIMMER WEAPONS SYSTEMS TOOLS AND EQUIPMENT,2011-10-01,,Underwater Use Explosive Ordnance disposal and Swimmer Weapons Systems Tools and Equipment.,,"This class includes only specialized tools and equipment developed for and used by qualified Explosive Ordnance Disposal (EOD) personnel, Underwater Demolition Teams (UDT), and/or Sea-Air-Land (SEAL) personnel.  Excludes Nonspecialized or common tools not developed exclusively for use by qualified EOD, UDT, and/or SEAL personnel; specialized demolition material; explosive loaded shaped charges.",
1390,FUZES AND PRIMERS,1978-10-15,,Fuzes and Primers,"Fuzes and Primers for ammunition not classified in classes 1310, 1315, and 1320.","This class includes only fuzes and primers for use in ammunition classified in classes 1310, 1315, and 1320.","Fuzes and Primers for ammunition not classified in classes 1310, 1315, and 1320."
1395,MISCELLANEOUS AMMUNITION,1978-10-15,,Miscellaneous Ammunition,,,"Ammunition Shapes, such as Blanks, Disks, Slugs, Cups, and Rotating Bands (Shell Bands)."
1398,SPECIALIZED AMMUNITION HANDLING AND SERVICING EQUIPMENT,2011-10-01,,Specialized Ammunition Handling and Servicing Equipment.,Handling and servicing equipment specially designed for use on or with rocket and pyrotechnic launchers; Ammunition maintenance and repair shop specialized equipment; Handling equipment specially designed for aircraft or airfield use.,,Handling and servicing equipment specially designed for use on or with rockets and conventional ammunition.
14,GUIDED MISSLES,1979-10-01,,,,"This group includes missiles (with or without warheads or explosive components) incorporating mechanisms capable of altering normal flight paths.  Radar and infrared assemblies and components designed specifically for use with guided missiles are classified in the appropriate classes of this group.  Excluded from this group are case sections, nose cones, flare sections, center sections, warheads, explosive components, rockets, and auxiliary components of missiles and re-entry vehicles which are designed or constructed for  exclusive use with or for housing of nuclear warheads and/or warhead sections.  Also excluded are space vehicle nose cones and space capsules specifically designed to carry loads peculiar to space research and space travel",
1410,GUIDED MISSILES,1978-10-15,,Guided Missiles,,"This class includes only complete guided missiles,  with or without warheads and explosive components, whether in assembled or unassembled form.  End items, assemblies, parts, attachments, or accessories for use in or on guided missiles are classified in classes other than this class.","Complete Drones, initially designed as missiles, but converted to drone use."
1420,GUIDED MISSILE COMPONENTS,1978-10-15,,Guided Missile Components,Electronic Remote Guidance Equipment used to guide missiles; Solid and Liquid Propellant Units; Components of Gyro Mechanisms.,,"Structural Components; Components and Accessories Specially Designed for use on or with guided missiles, including Complete Gyro Mechanisms, Hydraulic Pumps, Automatic Pilot Mechanisms and Specially Designed Assemblies, and Electronic  Guidance Equipment installed in missiles."
1425,"GUIDED MISSILE SYSTEMS, COMPLETE",1978-10-15,,"Guided Missile Systems, Complete",Guided Missile Subsystems.,"This class includes only complete guided missile systems.  Anything less than a complete system, such as individual end items, assemblies, parts, attachments, or accessories for use in guided missile systems are classified in classes other than this class.",Guided Missile Subsystems.
1427,GUIDED MISSILE SUBSYSTEMS,1978-10-15,,Guided Missile Subsystems,Complete Guided Missile Systems.,"This class includes only combinations or assemblies of two or more end items, each of which is properly classified in other classes of this group, identified as single items of supply. Excluded from this class are individual end items, assemblies, subassemblies, attachments, accessories or parts classified in other classes of this group, not combined as single items of supply.",Complete Guided Missile Systems.
1430,GUIDED MISSILE REMOTE CONTROL SYSTEMS,2011-10-01,,Guided Missile Remote Control Systems,Guided Missile Internal (Built-in) Control Systems; Components used in both guided missiles and other than guided missiles (including fire control components).,"This class includes airborne and nonairborne guided missile remote control systems, components, and accessories, designed specifically for use therewith. Excluded from this class are fire control assemblies, subassemblies, and components modified for use with guided missile remote control systems, and fire control assemblies designed specifically for shipboard use.",Specially Designed Components of Guided Missile Remote Control Systems.
1440,"LAUNCHERS, GUIDED MISSILE",1978-10-15,,"Launchers, Guided Missile",Aircraft Launchers; Rocket Launchers.,,Airborne and Nonairborne Guided Missile Launchers.
1450,GUIDED MISSILE HANDLING AND SERVICING EQUIPMENT,2011-10-01,,Guided Missile Handling and Servicing Equipment,Guided Missile Launchers (FSC 1440); Aircraft Handling and Servicing Equipment (FSC 1730).,,"Specially Designed Trucks and Trailers for use in transporting guided missiles; Specially Designed Slings, Hoists, Jacks, and Blowers; Self-propelled Vehicles and Trailers, Specially Designed for Guided Missile Handling or Servicing; Covers, Guided Missile; Conditioning Kits and Sets, Controlled Environment."
15,AIRCRAFT/AIRFRAME STRUCTURE COMPTS,1979-10-01,,,,,
1510,"AIRCRAFT, FIXED WING",1978-10-15,,"Aircraft, Fixed Wing",,"This class includes only complete aircraft.  End  items, assemblies, parts, attachments, or accessories for  use in or on fixed wing aircraft are classified in classes  other than this class.",
1520,"AIRCRAFT, ROTARY WING",1978-10-15,,"Aircraft, Rotary Wing",,"This class includes only complete aircraft.  End items, assemblies, parts, attachments, or accessories for use in or on rotary wing aircraft are classified in classes other than this class.",Helicopters.
1540,GLIDERS,1979-05-15,,Gliders,,"This class includes only complete gliders.  End items, assemblies, parts, attachments, or accessories for use in or on gliders are classified in classes other than this class.",Motorized Gliders.
1550,UNMANNED AIRCRAFT,2011-10-01,,Drones,Piloted aircraft and guided missiles converted to drone use.,"This class includes only complete drones. End items, assemblies, parts, attachments, or accessories for use in or on drones are classified in classes other than this class.","Drones specifically designed for such uses as targets, training, surveillance, missile evaluation, and photographic  reconnaissance."
1560,AIRFRAME STRUCTURAL COMPONENTS,1978-10-15,,Airframe Structural Components,Fitted Covers; Helicopter Rotor Brake System and Components; Aircraft Loose Equipment and Alternate Mission Configuration Equipment stored on board the Aircraft.,"This class includes fabricated system parts that are permanently attached or peculiar to the integral airframe of an aircraft, such as support structural components, spars, ribs, ailerons, stablizers, bulkheads.","Flight Control Surfaces, internal and external Auxiliary Fuel Tanks; Exhaust Systems, Pylons, Trim Tabs; Aircraft."
16,AIRCRAFT COMPONENTS/ACCESSORIES,1979-10-01,,,,,
1610,AIRCRAFT PROPELLERS AND COMPONENTS,1978-10-15,,Aircraft Propellers and Components,Rotary Rudder and Rotary Wing Blades (FSC 1615).,,"Aircraft Propellers; Propeller Blades, Cams, Cones, Hubs, Nuts, and Spinners; Test Clubs; Synchronizers; Power Control Units; Integral Oil Control Measures and Propeller Governors."
1615,"HELICOPTER ROTOR BLADES, DRIVE MECHANISMS AND COMPONENTS",2011-10-01,,"Helicopter Rotor Blades, Drive Mechanisms and Components",Propellers (FSC 1610); Rotor Brake Systems Components (FSC 1630); Rotor Blade Hydraulic Folding System Components (FSC 1650); Hydraulic Servo System Components (FSC 1650).,"This class includes miscellaneous component parts specifically designed for, and used exclusively in, helicopter drive mechanisms and rotor blades when not specifically classified elsewhere in the FSC indexes.","Helicopter dynamic components and specially designed parts that transmit power from the aircraft power  plant to the rotary wing and rotary rudder.  Also included in this class are Rotors; Blades; Rotor Blade, Trim, Tabs; Blade Sets; Yokes; Clutches and Transmissions."
1620,AIRCRAFT LANDING GEAR COMPONENTS,1978-10-15,,Aircraft Landing Gear Components,"Mounting Braces and Mounting Plates permanently installed on aircraft (FSC 1680); Landing Wheels, Skis, and Floats (FSC 1630); Wheel Brakes and Wheel Brake Cylinders (FSC 1630).",,"Shock Struts and Components; Installation Elements, such as Torsion Bars, Vibration Links, Drag Struts; Landing Gear Trunions, Axles and Shimmy Dampeners; Specially designed hydraulic power steering system components."
1630,AIRCRAFT WHEEL AND BRAKE SYSTEMS,1978-10-15,,Aircraft Wheel and Brake Systems,Landing Gear Axles (FSC 1620).,,Skis; Floats; Tracks; Landing Wheel Skid Detectors; Valves specifically designed for use with hydraulic or pneumatic wheel and brake systems; Helicopter Rotor Brake System Components.
